rung,cell                   n med_total       IQR  med_conn med_appconn  med_ttfb  (ms)
A,hdr_12k                  30     1.11     0.09     0.15        0.81     1.09
A,hdr_1k                   30     0.89     0.07     0.07        0.71     0.86
A,hdr_4k                   30     0.93     0.18     0.12        0.74     0.91
A,ka100_req1               30     0.89     0.08     0.08        0.72     0.86
A,ka100_req10              30     0.07     0.01     0.00        0.00     0.06
A,ka100_req100             30     0.06     0.01     0.00        0.00     0.05
A,ka100_req11              30     0.07     0.01     0.00        0.00     0.06
A,ka100_req12              30     0.07     0.00     0.00        0.00     0.05
A,ka100_req13              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req14              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req15              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req16              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req17              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req18              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req19              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req2               30     0.07     0.01     0.00        0.00     0.06
A,ka100_req20              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req21              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req22              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req23              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req24              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req25              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req26              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req27              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req28              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req29              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req3               30     0.06     0.01     0.00        0.00     0.06
A,ka100_req30              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req31              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req32              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req33              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req34              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req35              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req36              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req37              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req38              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req39              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req4               30     0.06     0.01     0.00        0.00     0.06
A,ka100_req40              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req41              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req42              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req43              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req44              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req45              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req46              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req47              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req48              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req49              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req5               30     0.06     0.02     0.00        0.00     0.06
A,ka100_req50              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req51              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req52              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req53              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req54              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req55              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req56              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req57              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req58              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req59              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req6               30     0.06     0.01     0.00        0.00     0.06
A,ka100_req60              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req61              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req62              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req63              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req64              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req65              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req66              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req67              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req68              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req69              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req7               30     0.07     0.02     0.00        0.00     0.06
A,ka100_req70              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req71              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req72              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req73              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req74              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req75              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req76              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req77              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req78              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req79              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req8               30     0.07     0.01     0.00        0.00     0.06
A,ka100_req80              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req81              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req82              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req83              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req84              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req85              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req86              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req87              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req88              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req89              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req9               30     0.07     0.01     0.00        0.00     0.06
A,ka100_req90              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req91              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req92              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req93              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req94              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req95              30     0.06     0.01     0.00        0.00     0.05
A,ka100_req96              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req97              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req98              30     0.06     0.00     0.00        0.00     0.05
A,ka100_req99              30     0.06     0.01     0.00        0.00     0.05
A,ka10_req1                30     0.95     0.11     0.13        0.76     0.92
A,ka10_req10               30     0.10     0.04     0.00        0.00     0.07
A,ka10_req2                30     0.08     0.03     0.00        0.00     0.08
A,ka10_req3                30     0.07     0.03     0.00        0.00     0.07
A,ka10_req4                30     0.08     0.03     0.00        0.00     0.07
A,ka10_req5                30     0.08     0.03     0.00        0.00     0.07
A,ka10_req6                30     0.08     0.03     0.00        0.00     0.07
A,ka10_req7                30     0.10     0.05     0.00        0.00     0.07
A,ka10_req8                30     0.09     0.05     0.00        0.00     0.07
A,ka10_req9                30     0.09     0.04     0.00        0.00     0.07
A,ka1_req1                 30     0.88     0.10     0.07        0.70     0.85
A,req_100k                 30     1.49     0.05     0.15        0.79     1.46
A,req_10240k               30    58.73     0.70     0.11        0.84    58.67
A,req_1024k                30     6.61     0.16     0.14        0.82     6.58
A,req_1k                   30     1.02     0.07     0.15        0.79     0.99
A,resp_100k                30     1.51     0.06     0.14        0.79     0.97
A,resp_10240k              30    52.85     0.40     0.16        0.87     1.10
A,resp_1024k               30     6.21     0.13     0.15        0.81     1.02
A,resp_1k                  30     1.02     0.13     0.15        0.79     0.99
B,ka100_req1               30    14.67     0.29     0.04       13.87    14.65
B,ka100_req10              30     0.28     0.03     0.00        0.00     0.26
B,ka100_req100             30     0.26     0.04     0.00        0.00     0.24
B,ka100_req11              30     0.28     0.03     0.00        0.00     0.25
B,ka100_req12              30     0.28     0.04     0.00        0.00     0.27
B,ka100_req13              30     0.28     0.03     0.00        0.00     0.25
B,ka100_req14              30     0.28     0.06     0.00        0.00     0.26
B,ka100_req15              30     0.27     0.04     0.00        0.00     0.26
B,ka100_req16              30     0.28     0.02     0.00        0.00     0.27
B,ka100_req17              30     0.28     0.03     0.00        0.00     0.25
B,ka100_req18              30     0.27     0.04     0.00        0.00     0.25
B,ka100_req19              30     0.27     0.03     0.00        0.00     0.24
B,ka100_req2               30     0.25     0.03     0.00        0.00     0.25
B,ka100_req20              30     0.26     0.03     0.00        0.00     0.25
B,ka100_req21              30     0.28     0.03     0.00        0.00     0.26
B,ka100_req22              30     0.26     0.03     0.00        0.00     0.25
B,ka100_req23              30     0.27     0.04     0.00        0.00     0.24
B,ka100_req24              30     0.27     0.04     0.00        0.00     0.24
B,ka100_req25              30     0.27     0.03     0.00        0.00     0.24
B,ka100_req26              30     0.27     0.04     0.00        0.00     0.25
B,ka100_req27              30     0.27     0.05     0.00        0.00     0.25
B,ka100_req28              30     0.27     0.04     0.00        0.00     0.26
B,ka100_req29              30     0.27     0.04     0.00        0.00     0.24
B,ka100_req3               30     0.26     0.03     0.00        0.00     0.25
B,ka100_req30              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req31              30     0.26     0.04     0.00        0.00     0.25
B,ka100_req32              30     0.26     0.03     0.00        0.00     0.24
B,ka100_req33              30     0.26     0.02     0.00        0.00     0.24
B,ka100_req34              30     0.27     0.04     0.00        0.00     0.25
B,ka100_req35              30     0.25     0.04     0.00        0.00     0.24
B,ka100_req36              30     0.26     0.04     0.00        0.00     0.25
B,ka100_req37              30     0.27     0.04     0.00        0.00     0.24
B,ka100_req38              30     0.27     0.04     0.00        0.00     0.24
B,ka100_req39              30     0.26     0.04     0.00        0.00     0.24
B,ka100_req4               30     0.29     0.03     0.00        0.00     0.29
B,ka100_req40              30     0.27     0.05     0.00        0.00     0.24
B,ka100_req41              30     0.26     0.04     0.00        0.00     0.24
